"Обнаружение лесного пожара, дата","Обнаружение лесного пожара, время","Географические координаты места обнаружения пожара, наименование","Географические координаты места обнаружения пожара, азимут, гра-дусы","Широта (градусы, минуты, секунды)","Долгота (градусы, минуты, секунды)","Скорость ветра в районе пожара, в момент обнару-жения, м/с","Площадь пожара, га (в момент обна­ ружения)","Площадь пожара, га (всего)","Площадь пожара, га (лесная)","Площадь пожара, га (покрытая лесной раститель- ностью)",Причина
19.06.2016,19:30:00,д Петровка,107,55.544444444444444,73.36194444444445,6.0,0.2,0.5,0.5,0.3,с иных категорий
20.06.2016,15:00:00,д Егорьевка,107,55.480555555555554,73.36111111111111,6.0,1,1.3,1.3,0,с иных категорий
03.06.2016,15:30:00,д Егорьевка,204,55.11194444444445,73.71972222222222,5.0,3,8,8,4.5,с иных категорий
22.06.2016,03:30:00,д Трусовка,163,55.21888888888889,73.72166666666666,7.0,0.9,0.1,0.1,0.1,с иных категорий
04.06.2016,17:00:00,нп Усть-Заостровское Лесничество,335,54.739444444444445,73.72166666666666,7.0,0.5,2.5,2.5,2.5,с иных категорий
05.06.2016,16:00:00,д Егорьевка,204,55.115833333333335,73.71805555555555,3.0,2,3,3,3,с иных категорий
27.09.2016,15:00:00,д Вперед,49,55.11194444444445,73.81555555555556,4.0,0.1,0.1,0.1,0.1,с иных категорий
29.09.2016,15:00:00,д Ракитинка,106,54.88861111111111,73.57722222222222,4.0,10,16.4,16.4,16.4,с иных категорий
04.09.2016,16:00:00,д Вперед,48,55.11944444444445,73.83361111111111,7.0,2.5,5.1,5.1,4.5,с иных категорий
25.09.2016,00:00:00,с Георгиевка,348,55.01166666666666,74.3225,10.0,0.5,2,2,2,с иных категорий
26.09.2016,05:00:00,д Девятериковка,124,55.23222222222222,73.89111111111112,4.0,4,7.1,7.1,7.1,с иных категорий
01.10.2016,00:30:00,п Дачный,328,55.303333333333335,73.28722222222223,10.0,1,1.4,1.4,1.4,с иных категорий
04.10.2016,01:00:00,д Бородинка,47,55.31444444444445,73.71166666666667,3.0,4,9.5,9.5,9.5,с иных категорий
