"Обнаружение лесного пожара, дата","Обнаружение лесного пожара, время","Географические координаты места обнаружения пожара, наименование","Географические координаты места обнаружения пожара, азимут, гра-дусы","Широта (градусы, минуты, секунды)","Долгота (градусы, минуты, секунды)","Скорость ветра в районе пожара, в момент обнару-жения, м/с","Площадь пожара, га (в момент обна­ ружения)","Площадь пожара, га (всего)","Площадь пожара, га (лесная)","Площадь пожара, га (покрытая лесной раститель- ностью)",Причина
23.06.2017,10:30:00,д Давыдовка,199,55.129444444444445,73.44222222222223,2.0,0.2,0.4,0.4,0.4,с иных категорий
30.06.2017,14:30:00,с Юрьево,350,55.18888888888889,74.19444444444444,2.0,3,20.2,20.2,20.2,с иных категорий
02.08.2017,19:00:00,д Подгородка,196,55.123333333333335,73.53583333333333,5.0,0.03,0.03,0.03,0.03,с иных категорий
06.08.2017,00:05:00,п Ачаирский,286,54.64888888888889,73.93388888888889,3.0,0.1,0.4,0.4,0.4,с иных категорий
22.08.2017,16:00:00,п Дачный,107,55.242777777777775,73.30361111111111,5.0,0.1,0.1,0.1,0.1,с иных категорий
30.08.2017,00:30:00,с Надеждино,243,55.218333333333334,73.33027777777778,3.0,1.5,3.8,3.8,3.8,с иных категорий
26.08.2017,17:00:00,д Вперед,239,55.115833333333335,73.7786111111111,3.0,3,3.1,3.1,3.1,с иных категорий
03.05.2017,00:25:00,д Увальная Бития,,55.864444444444445,73.63888888888889,4.0,0.2,0.7,0.7,0.7,с иных категорий
04.05.2017,13:00:00,д Александровка,54,55.93805555555556,73.47805555555556,7.0,5.5,16,16,16,с иных категорий
08.05.2017,10:00:00,д Аксеново,195,55.51888888888889,73.2611111111111,7.0,2.5,13.9,13.9,13.9,с иных категорий
09.05.2017,08:30:00,д Аксеново,223,55.54194444444445,73.24,5.0,1.4,5.8,5.8,1.9,с иных категорий
10.05.2017,09:35:00,д Увальная Бития,283,55.50388888888889,73.25888888888889,5.0,1.2,11.8,11.8,11.8,с иных категорий
15.05.2017,12:30:00,д Черноозерье,7,55.76888888888889,73.99194444444444,4.0,0.6,1.1,1.1,1.1,мн
21.06.2017,00:30:00,д Увальная Бития,321,55.83166666666666,73.58083333333333,2.0,1.1,3.1,3.1,3.1,мн
10.05.2017,14:30:00,д Юрто-Уйск,148,56.937777777777775,75.20777777777778,5.0,4,6,6,5,с иных категорий
26.04.2017,05:10:00,п Новоуральский,8,54.3875,74.12583333333333,5.0,0.2,0.8,0.8,0.8,мн
29.04.2017,08:20:00,с Прииртышье,246,54.52,74.04888888888888,6.0,8,21,21,21,с иных категорий
29.04.2017,13:20:00,д Победа,260,54.49194444444444,74.2311111111111,6.0,11,16,16,16,с иных категорий
29.04.2017,16:30:00,д Победа,251,54.486666666666665,74.24138888888889,6.0,13,18,18,18,с иных категорий
29.04.2017,17:00:00,д Сосновка,52,54.51,74.14,11.0,0.2,0.8,0.8,0.8,с иных категорий
01.05.2017,17:20:00,д Камышино,102,54.771388888888886,73.46055555555556,6.0,5,14,14,14,с иных категорий
01.05.2017,18:25:00,д Камышино,97,54.769444444444446,73.44666666666667,6.0,12,18,18,18,с иных категорий
01.05.2017,19:10:00,д Сибкоммуна,295,54.77361111111111,73.43916666666667,6.0,8,17,17,17,с иных категорий
02.05.2017,04:00:00,с Звонарев Кут,265,54.69361111111111,73.47777777777777,7.0,2,2.9,2.9,2.9,с иных категорий
02.05.2017,04:40:00,с Звонарев Кут,271,54.6875,73.48472222222222,7.0,8,10.9,10.9,10.9,с иных категорий
02.05.2017,17:00:00,д Кудук-Чилик,126,54.54527777777778,73.01361111111112,7.0,3.2,3.9,3.9,3.9,с иных категорий
02.05.2017,16:35:00,д Лобково,284,54.715555555555554,73.45583333333333,5.0,7,13,13,13,с иных категорий
03.05.2017,14:45:00,д Черноглазовка,245,54.31388888888889,73.93388888888889,6.0,13,22,22,22,с иных категорий
04.05.2017,18:00:00,рп Павлоградка,38,54.22388888888889,73.6061111111111,7.0,3.4,4.7,4.7,4.7,с иных категорий
04.05.2017,16:30:00,с Карповка,290,54.51277777777778,73.70972222222223,8.0,0.2,0.6,0.6,0.6,с иных категорий
06.05.2017,09:00:00,д Новороссийка,310,54.09111111111111,74.70833333333333,4.0,0.7,1,1,1,с иных категорий
21.04.2017,14:00:00,с Сосновское,286,54.58972222222222,73.22194444444445,6.0,3,8.9,8.9,8.9,с иных категорий
21.04.2017,15:00:00,с Цветнополье,289,54.490833333333335,72.83444444444444,5.0,4,5.8,5.8,5.8,с иных категорий
11.05.2017,19:05:00,с Сосновское,117,54.56944444444444,73.25222222222222,3.0,2.3,4.1,4.1,4.1,с иных категорий
12.05.2017,15:04:00,с Звонарев Кут,274,54.685,73.48166666666667,5.0,0.5,1.1,1.1,1.1,с иных категорий
14.05.2017,10:55:00,с Цветочное,77,53.64944444444444,73.93027777777777,7.0,0.3,0.8,0.8,0.8,с иных категорий
21.05.2017,17:05:00,рп Павлоградка,129,54.19166666666667,73.59916666666666,5.0,1.6,2.4,2.4,2.4,с иных категорий
17.06.2017,13:30:00,с Прииртышье,287,54.51777777777778,74.16805555555555,4.0,1.2,2,2,2,с иных категорий
25.05.2017,11:00:00,с Славянка,170,54.219722222222224,74.52833333333334,10.0,1,1.5,1.5,1.5,с иных категорий
26.05.2017,00:40:00,д Сибкоммуна,193,54.79083333333333,73.46472222222222,12.0,3,7,7,7,с иных категорий
20.06.2017,08:30:00,д Явлено-Покровка,93,54.11555555555555,74.5736111111111,5.0,1.2,1.3,1.3,1.3,с иных категорий
21.06.2017,10:15:00,рп Таврическое,40,54.581944444444446,73.59472222222222,5.0,0.03,0.2,0.2,0.2,мн
06.06.2017,12:30:00,с Лесное,94,54.55277777777778,72.96277777777777,3.0,0.8,1.8,1.8,1.8,с иных категорий
13.06.2017,15:00:00,с Прииртышье,34,54.513888888888886,74.06194444444445,6.0,1.7,3.2,3.2,3.2,с иных категорий
05.08.2017,14:00:00,с Харламово,333,54.66916666666667,73.64083333333333,4.0,3,5,5,5,мн
26.04.2017,13:50:00,д Квашнино,330,56.437222222222225,73.4775,3.0,2.2,2.4,2.4,0.8,с иных категорий
03.05.2017,13:00:00,с Таскатлы,280,56.242777777777775,73.11777777777777,7.0,1.5,4.8,4.8,4.8,с иных категорий
04.05.2017,14:30:00,д Тимшиняково,325,56.95333333333333,74.42777777777778,,2,5.4,5.4,5.4,с иных категорий
04.05.2017,18:15:00,д Лоскутово,81,56.871944444444445,74.26,,0.2,0.65,0.65,0.65,с иных категорий
10.05.2017,17:00:00,д Уразай,200,56.81055555555555,74.82861111111112,4.0,0.1,5.8,5.8,5.8,с иных категорий
12.05.2017,15:00:00,д Советская Крестьянка,36,56.696666666666665,74.4036111111111,5.0,4,7.1,7.1,7.1,с иных категорий
15.05.2017,17:00:00,д Уразай,140,56.77472222222222,74.88277777777778,,8,10.4,10.4,10.4,с иных категорий
16.05.2017,14:00:00,д Сидоровка,53,57.03388888888889,74.63638888888889,,6,10,10,10,с иных категорий
16.05.2017,15:00:00,д Ивановка,355,56.77166666666667,74.85,,2,15,15,15,с иных категорий
17.05.2017,12:30:00,с Колосовка,117,56.44861111111111,73.66222222222223,7.0,4.5,9.8,9.8,9.8,с иных категорий
17.05.2017,09:00:00,с Нагорное,150,56.75861111111111,74.87055555555555,4.0,2,9.2,9.2,9.2,с иных категорий
19.05.2017,17:00:00,д Сидоровка,135,57.04972222222222,74.64944444444444,2.0,1,2.7,2.7,2.7,с иных категорий
22.05.2017,14:30:00,с Кутырлы,326,56.22527777777778,72.93777777777778,15.0,4.5,8.2,8.2,8.2,с иных категорий
07.06.2017,14:00:00,п Междуречье,262,56.82694444444444,74.61305555555556,,13.6,23.8,23.8,23.8,мн
08.06.2017,17:35:00,д Уразай,150,56.841388888888886,74.75861111111111,4.0,14,17.1,17.1,17.1,мн
15.06.2017,12:00:00,с Екатерининское,120,56.88333333333333,74.56305555555555,0.0,0.1,0.2,0.2,0.2,мн
16.06.2017,09:00:00,с Екатерининское,104,56.88388888888889,74.555,1.0,0.1,0.2,0.2,0.2,мн
21.05.2017,11:40:00,с Кип,25,57.59888888888889,71.88305555555556,5.0,15,42,42,12,мн
22.05.2017,13:30:00,д Бродниково,40,57.596111111111114,71.54861111111111,10.0,2,5,5,2,мн
01.09.2017,15:00:00,с Журавлевка,260,57.52777777777778,72.66666666666667,2.0,0.3,0.5,0,0,мн
27.08.2017,01:00:00,д Вознесенка,49,57.528888888888886,72.66805555555555,3.0,5,13,3,3,мн
31.08.2017,13:00:00,с Журавлевка,47,57.57111111111111,72.785,1.0,3,64,4,4,мн
01.05.2017,05:30:00,с Кабырдак,25,56.1525,72.75055555555555,6.0,0.5,10.1,10.1,10.1,мн
02.05.2017,16:30:00,д Кумыра,10,56.22388888888889,72.28611111111111,12.0,8,18.1,18.1,17.1,с иных категорий
03.05.2017,07:30:00,д Красный Шар,45,55.881388888888885,72.65083333333334,7.0,5,13.6,13.6,13.6,с иных категорий
03.05.2017,16:00:00,д Ильинка,5,55.91638888888889,72.64888888888889,4.0,5.2,12.1,12.1,12.1,с иных категорий
04.05.2017,15:40:00,г Тюкалинск,45,55.937777777777775,72.29166666666667,8.0,2.8,7.4,7.4,7.4,мн
10.05.2017,05:30:00,с Кабырдак,45,56.181666666666665,72.82527777777777,6.0,2.8,6.1,6.1,6.1,мн
13.05.2017,10:30:00,п Октябрьский,35,55.806111111111115,72.16805555555555,3.0,3.1,9.1,9.1,9.1,мн
14.05.2017,16:30:00,с Нагибино,35,55.903888888888886,72.89555555555556,6.0,5,16.4,16.4,16.4,с иных категорий
17.05.2017,10:00:00,с Атрачи,65,55.97,72.985,5.0,4,24.2,24.2,24.2,мн
22.05.2017,11:00:00,п Октябрьский,62,55.978611111111114,72.29555555555555,8.0,7.2,22.09,22.09,22.09,мн
22.05.2017,15:15:00,д Ильинка,5,55.969166666666666,72.62722222222222,5.0,5.3,13.7,13.7,13.7,с иных категорий
26.05.2017,15:30:00,с Нагибино,45,55.93972222222222,72.86277777777778,4.0,4,8.7,8.7,8.7,мн
27.05.2017,11:00:00,с Сажино,65,55.91111111111111,72.30388888888889,5.0,3.2,5.8,5.8,1.1,мн
16.07.2017,09:00:00,с Старосолдатское,75,56.3475,72.865,2.0,3.2,4.9,4.9,4.9,мн
16.07.2017,12:00:00,д Лидинка,40,55.63055555555555,71.98388888888888,4.0,3.6,5,5,5,мн
10.10.2017,14:30:00,д Федосеевка,90,55.823055555555555,71.91638888888889,2.0,3.2,5,5,5,с иных категорий
25.04.2017,15:20:00,д Орловка,325,54.75527777777778,75.25722222222223,17.0,1.5,5,5,5,с иных категорий
25.04.2017,13:30:00,с Татарка,180,54.00861111111111,74.98333333333333,18.0,1.5,4,4,4,с иных категорий
25.04.2017,13:30:00,д Верхнеильинка,12,54.54944444444445,74.28361111111111,15.0,1.9,5.9,5.9,5.9,с иных категорий
26.04.2017,12:10:00,рп Черлак,242,54.18083333333333,74.89972222222222,6.0,0.5,1.8,1.8,1.8,с иных категорий
26.04.2017,17:45:00,с Иртыш,34,54.522222222222226,74.4125,4.0,2,8.8,8.8,8.8,мн
26.04.2017,17:40:00,д Малый Атмас,68,54.005,75.00055555555555,4.0,2,6.6,6.6,6.6,с иных категорий
28.04.2017,15:10:00,с Красный Октябрь,184,54.1275,75.00611111111111,3.0,0.1,0.3,0.3,0.3,мн
29.04.2017,10:00:00,с Соляное,35,54.38666666666666,74.62138888888889,10.0,5,24.6,24.6,24.6,с иных категорий
29.04.2017,13:20:00,д Васильевка,88,54.89194444444445,75.39611111111111,10.0,3.5,12.5,12.5,12.5,с иных категорий
01.05.2017,15:30:00,д Крупское,18,54.429722222222225,74.50444444444445,10.0,1.5,4.9,4.9,4.9,с иных категорий
01.05.2017,19:30:00,с Большой Атмас,85,54.075833333333335,75.13638888888889,10.0,3,23.1,23.1,23.1,с иных категорий
02.05.2017,10:00:00,с Большой Атмас,38,54.08083333333333,75.14166666666667,4.0,3.5,18.3,18.3,18.3,с иных категорий
02.05.2017,15:30:00,д Погранично-Григорьевка,266,54.099444444444444,75.2,12.0,16,160.4,160.4,160.4,с иных категорий
02.05.2017,17:30:00,рп Черлак,334,54.206944444444446,74.75833333333334,14.0,5,13.1,13.1,13.1,с иных категорий
03.05.2017,18:00:00,с Татарка,45,53.99944444444444,75.15666666666667,4.0,5.5,14.7,14.7,14.7,с иных категорий
03.05.2017,18:20:00,д Целинное,45,54.13611111111111,74.91166666666666,4.0,1,4.4,4.4,4.4,мн
05.05.2017,16:00:00,д Орловка,143,54.70111111111111,75.32194444444444,6.0,1.5,5.7,5.7,5.7,с иных категорий
06.05.2017,00:10:00,с Крестики,124,54.60138888888889,75.49083333333333,2.0,1,3.5,3.5,3.5,мн
11.05.2017,00:10:00,д Кузнецовка,311,53.995555555555555,75.29388888888889,3.0,6,11.8,11.8,11.8,с иных категорий
15.05.2017,15:50:00,д Северное,101,54.507777777777775,74.80722222222222,3.0,2,8,8,8,с иных категорий
20.05.2017,17:45:00,д Гринск,75,54.325,74.73472222222222,5.0,9.3,23.6,23.6,23.6,с иных категорий
21.05.2017,12:10:00,с Красный Октябрь,48,54.20916666666667,75.13194444444444,4.0,2.5,9,9,9,с иных категорий
21.05.2017,15:40:00,д Погранично-Григорьевка,21,54.13166666666667,75.3086111111111,2.0,2,5.1,5.1,5.1,с иных категорий
22.05.2017,13:30:00,д Михайловка,63,54.16361111111111,75.33722222222222,12.0,10,54.2,54.2,54.2,с иных категорий
23.05.2017,14:00:00,с Красовка,270,54.97,75.12333333333333,16.0,2.5,8.5,8.5,8.5,с иных категорий
25.05.2017,13:00:00,д Мариновка,40,54.58444444444444,75.30944444444444,22.0,8,22.8,22.8,22.8,с иных категорий
26.05.2017,08:50:00,д Козинка,14,54.14611111111111,75.4161111111111,7.0,11.5,38.4,38.4,38.4,с иных категорий
14.06.2017,16:45:00,с Елизаветинка,190,54.27305555555556,74.68555555555555,5.0,0.5,1.5,1.5,1.5,с иных категорий
05.07.2017,16:15:00,д Кузнецовка,225,53.94972222222222,75.28083333333333,3.0,5,22.4,22.4,22.4,с иных категорий
27.08.2017,16:50:00,рп Черлак,139,54.15027777777778,74.83527777777778,2.0,0.1,0.25,0.25,0.25,мн
05.09.2017,19:40:00,рп Черлак,360,54.17333333333333,74.81888888888889,6.0,0.1,0.4,0.4,0.4,мн
17.09.2017,16:45:00,д Целинное,161,54.119166666666665,74.93416666666667,3.0,0.2,0.7,0.7,0.7,мн
22.05.2018,13:45:00,д Добролюбовка,218,56.09305555555556,74.18,8.0,7,12,12,12,с иных категорий
06.06.2018,15:00:00,д Рямовка,135,55.966944444444444,74.41888888888889,6.0,4,6.8,6.8,6.8,мн
28.04.2018,14:00:00,д Коновалиха,192,56.80388888888889,72.415,6.0,9,50,50,18,с иных категорий
28.04.2018,14:40:00,с Белогривка,77,56.61888888888889,72.6361111111111,7.0,10,22,22,22,с иных категорий
29.04.2018,09:00:00,д Коновалиха,157,56.815,72.45694444444445,20.0,100,250,250,210,с иных категорий
19.05.2018,13:00:00,д Решетино,72,56.48,72.48,7.0,10,22,22,5,с иных категорий
30.04.2018,13:00:00,д Уки,264,56.986111111111114,72.5838888888889,10.0,5,15,15,11,с иных категорий
30.04.2018,13:00:00,д Коновалиха,66,56.86194444444445,72.4961111111111,10.0,30,160,160,140,с иных категорий
30.04.2018,08:00:00,д Поспелово,254,56.855,72.62305555555555,10.0,83,220,220,190,с иных категорий
30.04.2018,13:00:00,д Верхние Уки,272,56.778055555555554,72.71111111111111,10.0,180,380,80,80,с иных категорий
01.05.2018,00:05:00,с Белогривка,47,56.65,72.88694444444444,10.0,50,200,200,0,с иных категорий
01.05.2018,12:00:00,с Белогривка,24,56.74888888888889,72.93,6.0,70,180,50,50,с иных категорий
01.05.2018,12:00:00,с Чернецовка,3,56.69888888888889,72.4961111111111,7.0,50,240,20,20,с иных категорий
01.05.2018,12:00:00,д Чугунлы,230,56.42305555555556,72.56611111111111,5.0,60,380,30,30,с иных категорий
01.05.2018,13:00:00,с Белогривка,41,56.68694444444444,72.94055555555556,7.0,60,220,40,40,с иных категорий
01.05.2018,12:00:00,д Верхние Уки,296,56.82694444444444,72.59305555555555,7.0,10,100,100,50,с иных категорий
02.05.2018,13:00:00,с Белогривка,40,56.75472222222222,73.03833333333333,5.0,30,150,30,30,с иных категорий
02.05.2018,13:30:00,д Верхние Уки,216,56.70305555555556,72.73305555555555,6.0,50,230,80,80,с иных категорий
02.05.2018,15:00:00,с Белогривка,347,56.603611111111114,72.84527777777778,5.0,20,80,80,50,с иных категорий
02.05.2018,11:00:00,с Становка,266,56.818888888888885,72.28805555555556,6.0,40,120,20,20,с иных категорий
02.05.2018,11:00:00,с Становка,176,56.73694444444445,72.42888888888889,5.0,30,80,80,30,с иных категорий
03.05.2018,08:15:00,с Чернецовка,329,56.716388888888886,72.33888888888889,5.0,30,120,120,30,с иных категорий
04.05.2018,08:00:00,с Чернецовка,307,56.63388888888889,72.39305555555555,5.0,30,70,15,5,с иных категорий
21.05.2018,09:32:00,д Северное,100,54.97611111111111,72.20027777777777,10.0,5.1,8.9,8.9,8.9,с иных категорий
13.05.2018,17:30:00,д Епанчино,227,55.58083333333333,75.03805555555556,10.0,3,6.8,6.8,6.8,с иных категорий
14.05.2018,17:30:00,д Локти,167,55.21222222222222,75.20722222222223,14.0,8.5,12.7,12.7,12.7,с иных категорий
16.05.2018,17:20:00,д Кибер-Спасское,144,55.185833333333335,74.53222222222222,9.0,4,10.4,10.4,10.4,с иных категорий
02.05.2018,15:00:00,с Красная Поляна,9,55.323055555555555,74.2688888888889,5.0,5,14.4,14.4,14.4,с иных категорий
22.05.2018,16:00:00,д Бещаул,78,55.83111111111111,74.53111111111112,2.0,2.5,9,9,9,с иных категорий
22.05.2018,15:00:00,п Лесной,117,55.56361111111111,74.65444444444445,6.0,15,23.9,23.9,23.9,с иных категорий
22.05.2018,15:30:00,п Лесной,107,55.57138888888889,74.63472222222222,6.0,16,24.8,24.8,24.8,с иных категорий
01.06.2018,15:00:00,д Кибер-Спасское,80,55.214444444444446,74.63805555555555,18.0,15,24.7,24.7,24.7,мн
01.06.2018,18:30:00,д Епанчино,255,55.595555555555556,75.03583333333333,18.0,6,7.7,7.7,7.7,с иных категорий
06.06.2018,13:00:00,д Сягаевка,331,55.64277777777778,74.14111111111112,8.0,6,8.2,8.2,8.2,с иных категорий
12.06.2018,14:00:00,д Ермолаевка,254,55.07555555555555,75.115,2.0,2.5,3.3,3.3,3.3,с иных категорий
09.10.2018,18:00:00,д Ермолаевка,230,55.07055555555556,75.12361111111112,13.0,2.5,3.1,3.1,3.1,линейные объекты
30.04.2018,10:00:00,д Новопокровка,40,56.05138888888889,71.30027777777778,6.0,4,24.6,24.6,24.6,с иных категорий
01.05.2018,11:00:00,с Яман,325,56.09388888888889,71.32888888888888,5.0,6.3,24.7,24.7,23.3,с иных категорий
01.05.2018,11:00:00,д Майка,57,55.08555555555556,71.37166666666667,5.0,5.4,19.8,19.8,19.8,с иных категорий
02.05.2018,10:50:00,рп Крутинка,180,55.94861111111111,71.5111111111111,2.0,7,23.2,23.2,23.2,с иных категорий
02.05.2018,09:30:00,с Яман,302,56.07111111111111,71.31972222222223,2.0,6,21.5,21.5,21.5,с иных категорий
03.05.2018,14:00:00,с Китерма,273,56.10111111111111,71.60055555555556,3.0,32,122.9,122.9,122.9,с иных категорий
03.05.2018,11:00:00,д Майка,34,55.96388888888889,71.37388888888889,3.0,25.6,88.8,88.8,88.8,с иных категорий
09.05.2018,14:00:00,с Кондратьево,142,56.42888888888889,75.6061111111111,4.0,5,14,14,14,с иных категорий
03.05.2018,00:30:00,д Копьево,80,55.91305555555556,75.14305555555555,4.0,11,21,21,15.8,с иных категорий
09.06.2018,14:10:00,д Казанка,178,56.48111111111111,75.72,4.0,5,11,11,11,мн
06.06.2018,15:30:00,д Большекрасноярка,145,56.38388888888889,75.95861111111111,3.0,2.5,3,3,3,мн
15.05.2018,17:30:00,д Майка,183,55.863055555555555,71.30611111111111,7.0,4,8,8,8,с иных категорий
17.05.2018,14:00:00,д Ветлинка,65,55.38305555555556,70.57388888888889,4.0,8,21,21,21,с иных категорий
19.05.2018,13:00:00,с Налимово,220,55.57805555555556,71.74111111111111,8.0,9,19,19,19,с иных категорий
30.04.2018,11:00:00,аул Байымбет,175,55.6,71.14888888888889,15.0,8,19.1,19.1,19.1,с иных категорий
20.05.2018,13:00:00,с Большепесчанка,254,55.86138888888889,70.77666666666667,8.0,1,3.6,3.6,3.6,с иных категорий
01.05.2018,09:00:00,д Кабаново,109,55.32694444444444,70.895,6.0,2,5.3,5.3,5.3,с иных категорий
21.05.2018,08:00:00,г Называевск,105,55.933055555555555,71.66638888888889,14.0,1.5,7,7,7,с иных категорий
21.05.2018,14:00:00,с Князево,217,55.31388888888889,70.9588888888889,14.0,5,14.3,14.3,14.3,с иных категорий
02.05.2018,14:00:00,д Фомиха,327,55.52305555555556,71.45694444444445,7.0,7.3,21.7,21.7,21.7,с иных категорий
03.05.2018,07:00:00,с Путь Социализма,139,55.99722222222222,71.54888888888888,4.0,4,11,11,11,с иных категорий
24.05.2018,11:00:00,д Михайловка,130,55.57194444444445,71.25194444444445,8.0,5.3,10.9,10.9,10.9,с иных категорий
07.08.2018,10:00:00,д Кабаново,118,55.53472222222222,70.9975,4.0,3,8,8,8,с иных категорий
11.05.2018,00:30:00,п Иртышский,206,54.84222222222222,73.61555555555556,6.0,4.5,7.4,7.4,7.4,с иных категорий
12.05.2018,13:00:00,нп Усть-Заостровское Лесничество,108,54.74666666666667,73.71083333333333,7.0,2.4,2.4,2.4,0.8,с иных категорий
12.05.2018,16:00:00,д Комсомол,56,54.647222222222226,74.21111111111111,7.0,4,8.3,8.3,8.3,с иных категорий
17.05.2018,17:00:00,д Бородинка,213,55.28055555555556,73.66555555555556,4.0,2.5,12,12,4.7,с иных категорий
29.04.2018,17:00:00,с Надеждино,110,55.189166666666665,73.2936111111111,10.0,3,6,6,6,с иных категорий
21.05.2018,14:30:00,д Березянка,115,55.18833333333333,73.38305555555556,9.0,0.1,0.2,0.2,0.1,с иных категорий
21.05.2018,13:30:00,д Егорьевка,83,55.18,73.73555555555555,1.0,9,2.5,2.5,2.5,с иных категорий
21.05.2018,16:30:00,д Давыдовка,206,55.19861111111111,73.49333333333334,9.0,5,24.9,24.9,19.3,с иных категорий
02.05.2018,15:30:00,д 18 Партсъезд,242,55.1125,73.63,4.0,0.5,1,1,1,с иных категорий
02.05.2018,17:00:00,с Красноярка,152,55.297777777777775,73.12055555555555,3.0,2,4.2,4.2,4.2,с иных категорий
22.05.2018,06:00:00,д Давыдовка,27,55.18,73.47805555555556,6.0,1,9.8,9.8,9.8,с иных категорий
04.05.2018,09:30:00,д Петровка,2,55.28111111111111,73.54388888888889,7.0,1,1.7,1.7,1.7,с иных категорий
04.05.2018,10:00:00,д Калиновка,323,55.21388888888889,73.5963888888889,7.0,4,6,6,6,с иных категорий
07.06.2018,19:00:00,с Надеждино,252,55.20916666666667,73.32694444444445,10.0,1,1.5,1.5,0,с иных категорий
09.06.2018,15:30:00,д Дубровка,333,55.12388888888889,73.98666666666666,5.0,2.5,4.5,4.5,4.5,с иных категорий
09.06.2018,17:00:00,с Новотроицкое,133,55.2875,73.11861111111111,5.0,1,2.5,2.5,2.5,с иных категорий
16.07.2018,16:00:00,с Алексеевка,38,55.173611111111114,73.94666666666667,10.0,0.5,1,1,1,с иных категорий
05.10.2018,10:00:00,д Спайка,284,54.721944444444446,74.05,8.0,18,24.6,24.6,24.6,с иных категорий
28.09.2018,17:00:00,п Ачаирский,268,54.59722222222222,74.07527777777777,7.0,1.5,2.1,2.1,2.1,с иных категорий
12.05.2018,15:50:00,с Баженово,72,55.279444444444444,73.16055555555556,9.0,1.2,2,2,0,мн
14.05.2018,14:15:00,д Аксеново,261,55.543055555555554,73.24416666666667,6.0,1.8,9.9,9.9,2,мн
29.04.2018,18:50:00,д Кушайлы,195,55.59444444444444,73.54888888888888,9.0,0.25,0.3,0.3,0,мн
19.05.2018,14:20:00,д Большешипицыно,260,55.74805555555555,73.19527777777778,6.0,6.5,19.8,19.8,19.8,мн
21.05.2018,15:50:00,д Калачевка,,55.53,73.37833333333333,15.0,1.5,2.5,2.5,0,мн
21.05.2018,14:00:00,д Тамбовка,113,55.44833333333333,73.11638888888889,15.0,10.5,23.5,23.5,23.5,с иных категорий
03.05.2018,11:00:00,с Нижнеиртышское,272,55.4425,73.21,7.0,10,56.1,56.1,48.6,мн
06.10.2018,14:10:00,с Андреевка,79,55.73305555555555,73.84972222222223,8.0,0.3,0.7,0.7,0.7,с иных категорий
27.09.2018,14:55:00,с Хохлово,270,55.880833333333335,73.58805555555556,5.0,3,5,5,4.5,с иных категорий
09.05.2018,14:20:00,с Голубовка,299,56.90694444444444,75.19694444444444,7.0,21,1.1,1.1,1.1,с иных категорий
11.05.2018,19:10:00,с Харламово,92,54.69444444444444,73.58805555555556,3.0,3.5,8.3,8.3,8.3,с иных категорий
06.10.2018,15:15:00,д Веселые Рощи,95,54.518055555555556,73.49666666666667,7.0,1.5,2.3,2.3,2.3,с иных категорий
09.10.2018,16:30:00,д Лобково,117,54.72222222222222,73.49555555555555,5.0,5.2,15,15,15,с иных категорий
09.05.2018,11:30:00,с Петрово,243,56.946666666666665,74.15583333333333,3.0,0.9,1.2,1.2,1.2,мн
29.04.2018,17:20:00,с Таскатлы,190,56.21666666666667,73.12638888888888,20.0,0.3,2.3,2.3,2.3,с иных категорий
19.05.2018,15:40:00,с Кутырлы,130,56.17388888888889,73.02111111111111,6.0,5.1,21.5,21.5,21.5,с иных категорий
30.04.2018,15:00:00,с Кутырлы,340,56.23888888888889,72.89194444444445,8.0,4.5,23.7,23.7,23.7,с иных категорий
02.05.2018,12:00:00,д Меркутлы,300,56.11611111111111,72.86888888888889,5.0,3.9,19,19,19,с иных категорий
02.05.2018,15:00:00,д Квашнино,135,56.39805555555556,73.53138888888888,5.0,1.2,10.9,10.9,10.9,с иных категорий
03.05.2018,12:00:00,д Чердынцево,174,56.25611111111111,72.99111111111111,4.0,4.6,22.4,22.4,22.4,с иных категорий
04.08.2018,08:30:00,п Белый Яр,90,57.59,72.43694444444445,15.0,2.5,3,3,3,мн
21.05.2018,15:00:00,д Сергеевка,10,55.74333333333333,72.33,12.0,10,20.4,20.4,20.4,с иных категорий
02.05.2018,06:00:00,д Иваново-Сергиевка,45,56.12138888888889,72.50277777777778,12.0,20,88,88,88,с иных категорий
22.05.2018,15:30:00,с Сажино,20,55.89694444444444,72.49777777777778,15.0,11,22.9,22.9,22.9,с иных категорий
03.05.2018,08:00:00,г Тюкалинск,89,55.87388888888889,72.28111111111112,3.0,4.2,10.6,10.6,10.6,с иных категорий
03.05.2018,12:00:00,п Октябрьский,85,55.81472222222222,72.14666666666666,3.0,5,14.1,14.1,14.1,с иных категорий
03.05.2018,13:05:00,с Малиновка,80,55.651944444444446,72.48611111111111,3.0,7,35.6,35.6,35.6,с иных категорий
03.05.2018,13:15:00,д Городки,50,56.12888888888889,72.38,3.0,1.5,3.4,3.4,3.4,с иных категорий
04.05.2018,11:00:00,д Иваново-Сергиевка,60,56.140277777777776,72.51472222222222,0.0,0.5,7.9,7.9,7.9,с иных категорий
06.06.2018,14:38:00,д Ярославка,45,55.95638888888889,71.87777777777778,6.0,5,21,21,21,с иных категорий
06.10.2018,16:10:00,г Тюкалинск,43,55.89111111111111,72.25305555555556,7.0,10,18,18,18,с иных категорий
07.06.2018,15:30:00,д Малая Ашеванка,47,57.691944444444445,71.16833333333334,9.0,1.5,15,5.4,5.4,линейные объекты
